"oop_poorest","oop_poorer","oop_middle","oop_richer","oop_richest"
0.3166,0.1477,0.1098,0.0874,0.1065
0.318,0.1459,0.116,0.0922,0.1084
0.3096,0.146,0.1194,0.0942,0.0974
0.3253,0.152,0.1179,0.0906,0.1033
0.3067,0.1483,0.1172,0.0918,0.1109
0.3113,0.1526,0.1135,0.0926,0.0988
0.3197,0.1451,0.1173,0.087,0.1055
0.3092,0.1397,0.1075,0.0873,0.1081
0.3018,0.1371,0.1135,0.087,0.088
0.3159,0.1475,0.1109,0.0912,0.1089
0.3034,0.1407,0.113,0.0918,0.1037
0.3076,0.1495,0.1117,0.0838,0.1023
0.3183,0.1524,0.1135,0.0928,0.1044
0.3064,0.1356,0.1152,0.0885,0.1023
0.3036,0.1398,0.115,0.1001,0.1044
0.298,0.1383,0.1071,0.0866,0.1085
0.3055,0.148,0.1126,0.0932,0.1026
0.3088,0.1434,0.1036,0.0925,0.1073
0.3174,0.1466,0.112,0.0907,0.1017
0.3029,0.1382,0.109,0.0904,0.0982
0.305,0.1455,0.0995,0.0856,0.0973
0.3041,0.1443,0.1049,0.0849,0.1049
0.2971,0.1409,0.1106,0.0858,0.1023
0.3165,0.154,0.1166,0.0962,0.1049
0.3126,0.1509,0.1165,0.0911,0.102
0.3262,0.1478,0.1096,0.0922,0.1034
0.3108,0.1501,0.1183,0.0946,0.1032
0.3157,0.1524,0.1072,0.0852,0.1068
0.3238,0.1527,0.1133,0.0999,0.108
0.306,0.1367,0.1097,0.0914,0.0995
0.3136,0.1531,0.1091,0.0896,0.1127
0.3054,0.1531,0.1071,0.0879,0.1014
0.3122,0.1552,0.1076,0.0909,0.1126
0.3137,0.1434,0.1168,0.0882,0.106
0.3109,0.1436,0.1097,0.0874,0.1038
0.3153,0.1394,0.1069,0.0873,0.0989
0.3102,0.1438,0.1118,0.0937,0.1008
0.3292,0.1572,0.1177,0.0993,0.1085
0.3118,0.1416,0.112,0.0907,0.0971
0.3099,0.1488,0.1184,0.0911,0.0993
0.3257,0.1502,0.1196,0.0956,0.1057
0.3064,0.1463,0.1104,0.0901,0.098
0.3087,0.1504,0.1129,0.088,0.0994
0.3101,0.1494,0.1151,0.0898,0.1011
0.313,0.1402,0.1141,0.0935,0.1072
0.3198,0.1469,0.1145,0.0878,0.0993
0.3101,0.1533,0.1124,0.0993,0.1042
0.3255,0.1519,0.1074,0.0914,0.1009
0.3059,0.1488,0.115,0.0879,0.1047
0.319,0.1492,0.1109,0.0955,0.1047
0.3262,0.1415,0.1088,0.0958,0.1064
0.3198,0.1467,0.1149,0.0972,0.1105
0.311,0.1607,0.1122,0.086,0.105
0.3164,0.1424,0.1179,0.0931,0.1017
0.311,0.1466,0.1125,0.0923,0.1109
0.3121,0.1487,0.1063,0.089,0.0933
0.3206,0.1462,0.1137,0.0916,0.1095
0.3158,0.1563,0.1107,0.0933,0.1036
0.3131,0.1458,0.1114,0.0953,0.0994
0.3127,0.1431,0.1112,0.0831,0.0968
0.3116,0.1539,0.1168,0.0889,0.1035
0.3047,0.1514,0.1121,0.0944,0.1076
0.3202,0.1386,0.1113,0.0926,0.1031
0.3212,0.1422,0.1117,0.0864,0.1026
0.3095,0.1506,0.1163,0.0911,0.0995
0.3131,0.1412,0.109,0.0897,0.1024
0.3189,0.1489,0.1124,0.086,0.1056
0.3024,0.1403,0.111,0.0856,0.1031
0.3056,0.1444,0.1067,0.0882,0.1117
0.3217,0.1349,0.1096,0.1026,0.1062
0.3114,0.1397,0.1099,0.0934,0.102
0.3238,0.1406,0.1093,0.088,0.1095
0.3293,0.1542,0.1226,0.092,0.1057
0.3157,0.1442,0.1131,0.0947,0.1049
0.3066,0.1476,0.1141,0.0948,0.1044
0.3176,0.1408,0.1081,0.0871,0.107
0.3201,0.1476,0.1168,0.0864,0.1019
0.3026,0.1382,0.1048,0.0925,0.1018
0.3031,0.1477,0.1119,0.0905,0.1035
